;0;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;cod_regsaud
2014-01;9.0;8.0;8.0;8.0;8.0;8.0;8.0;7.0;5.0;5.0;5.0;;;;;;27001
2015-01;11.0;9.0;9.0;8.0;7.0;6.0;6.0;7.0;7.0;7.0;;;;;;;27001
2016-01;5.0;5.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;;;;;;;;27001
2017-01;8.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;;;;;;;;;27001
2018-01;8.0;7.0;6.0;5.0;4.0;4.0;3.0;;;;;;;;;;27001
2019-01;12.0;9.0;9.0;10.0;7.0;7.0;;;;;;;;;;;27001
2020-01;9.0;9.0;7.0;5.0;6.0;;;;;;;;;;;;27001
2021-01;10.0;10.0;8.0;8.0;;;;;;;;;;;;;27001
2022-01;14.0;12.0;12.0;;;;;;;;;;;;;;27001
2023-01;11.0;10.0;;;;;;;;;;;;;;;27001
2024-01;17.0;;;;;;;;;;;;;;;;27001
2012-01;6.0;6.0;4.0;2.0;2.0;2.0;1.0;1.0;;1.0;1.0;1.0;1.0;;;;27008
2013-01;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;;27008
2014-01;1.0;;;;;;;;;;;;;;;;27008
2016-01;1.0;1.0;;;;;;;;;;;;;;;27008
2017-01;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;;;;;;;;;27008
2018-01;4.0;3.0;2.0;;;;;;;;;;;;;;27008
2019-01;2.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;27008
2020-01;2.0;2.0;2.0;2.0;1.0;;;;;;;;;;;;27008
2021-01;1.0;;;;;;;;;;;;;;;;27008
2022-01;2.0;1.0;1.0;;;;;;;;;;;;;;27008
2023-01;3.0;2.0;;;;;;;;;;;;;;;27008
2024-01;2.0;;;;;;;;;;;;;;;;27008
2012-01;8.0;6.0;6.0;5.0;5.0;4.0;2.0;2.0;2.0;2.0;;;;;;;27009
2014-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;27009
2016-01;3.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;27009
2017-01;2.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;27009
2018-01;1.0;1.0;1.0;;;;;;;;;;;;;;27009
2022-01;3.0;;;;;;;;;;;;;;;;27009
2023-01;1.0;1.0;;;;;;;;;;;;;;;27009
2024-01;1.0;;;;;;;;;;;;;;;;27009
2012-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;13003
2013-01;1.0;1.0;1.0;;;;;;;;;;;;;;13003
2018-01;2.0;1.0;;;;;;;;;;;;;;;13003
2019-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;13003
2020-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;13003
2022-01;1.0;;;;;;;;;;;;;;;;13003
2024-01;4.0;;;;;;;;;;;;;;;;13003
2012-01;22.0;19.0;18.0;18.0;15.0;13.0;13.0;12.0;10.0;9.0;10.0;10.0;11.0;;;;13001
2013-01;6.0;5.0;5.0;6.0;6.0;5.0;5.0;3.0;3.0;3.0;3.0;2.0;;;;;13001
2014-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;;;;;;13001
2015-01;10.0;8.0;7.0;6.0;6.0;6.0;6.0;6.0;5.0;4.0;;;;;;;13001
2016-01;3.0;3.0;3.0;1.0;2.0;2.0;1.0;1.0;1.0;;;;;;;;13001
2017-01;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;;;;13001
2018-01;7.0;7.0;7.0;5.0;5.0;5.0;5.0;;;;;;;;;;13001
2019-01;9.0;8.0;8.0;8.0;8.0;5.0;;;;;;;;;;;13001
2020-01;10.0;8.0;7.0;7.0;6.0;;;;;;;;;;;;13001
2021-01;3.0;3.0;3.0;3.0;;;;;;;;;;;;;13001
2022-01;6.0;4.0;4.0;;;;;;;;;;;;;;13001
2023-01;8.0;5.0;;;;;;;;;;;;;;;13001
2024-01;11.0;;;;;;;;;;;;;;;;13001
2012-01;2.0;2.0;2.0;2.0;2.0;1.0;;;;;;;;;;;23004
2014-01;2.0;1.0;;1.0;;;;;;;;;;;;;23004
