;0;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;cod_regsaud
2023-01;1.0;1.0;;;;;;;;;;;;;;;23011
2024-01;3.0;;;;;;;;;;;;;;;;23011
2009-01;7.0;5.0;5.0;4.0;4.0;4.0;4.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;32002
2010-01;6.0;6.0;5.0;5.0;5.0;5.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;;32002
2011-01;6.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;;;32002
2012-01;4.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;;;;32002
2013-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;32002
2014-01;5.0;5.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;32002
2015-01;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;;;;;32002
2016-01;3.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;3.0;;;;;;;;32002
2017-01;6.0;6.0;5.0;4.0;5.0;5.0;5.0;5.0;;;;;;;;;32002
2018-01;4.0;4.0;4.0;4.0;4.0;4.0;3.0;;;;;;;;;;32002
2019-01;5.0;4.0;5.0;5.0;5.0;5.0;;;;;;;;;;;32002
2020-01;6.0;6.0;6.0;5.0;5.0;;;;;;;;;;;;32002
2021-01;5.0;5.0;5.0;5.0;;;;;;;;;;;;;32002
2022-01;1.0;;;;;;;;;;;;;;;;32002
2023-01;3.0;3.0;;;;;;;;;;;;;;;32002
2024-01;6.0;;;;;;;;;;;;;;;;32002
2012-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;;;;32004
2017-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;32004
2018-01;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;;;;;;;;32004
2020-01;1.0;1.0;1.0;;;;;;;;;;;;;;32004
2022-01;2.0;2.0;2.0;;;;;;;;;;;;;;32004
2009-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;32005
2012-01;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;32005
2014-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;32005
2015-01;1.0;1.0;;;;;;;;;;;;;;;32005
2016-01;1.0;1.0;1.0;;;;;;;;;;;;;;32005
2017-01;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;32005
2018-01;1.0;1.0;;;;;;;;;;;;;;;32005
2019-01;3.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;32005
2020-01;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;;;32005
2021-01;3.0;3.0;3.0;3.0;;;;;;;;;;;;;32005
2022-01;1.0;1.0;1.0;;;;;;;;;;;;;;32005
2023-01;1.0;1.0;;;;;;;;;;;;;;;32005
2024-01;1.0;;;;;;;;;;;;;;;;32005
2009-01;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;21016
2010-01;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;21016
2011-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;21016
2012-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;1.0;;;;21016
2013-01;4.0;4.0;3.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;;;;;21016
2014-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;21016
2015-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;21016
2016-01;6.0;6.0;6.0;4.0;4.0;4.0;4.0;3.0;3.0;;;;;;;;21016
2017-01;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;;;;;;;21016
2018-01;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;;;;;21016
2019-01;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;;;;;;21016
2020-01;3.0;3.0;3.0;3.0;3.0;;;;;;;;;;;;21016
2021-01;3.0;3.0;3.0;3.0;;;;;;;;;;;;;21016
2022-01;5.0;5.0;5.0;;;;;;;;;;;;;;21016
2023-01;2.0;2.0;;;;;;;;;;;;;;;21016
2024-01;3.0;;;;;;;;;;;;;;;;21016
